CPUE,CPUE_1,CPUE_2,Subadult_2,IM_2,MM_1,Sublegal_1
8.725946276,2.365555556,6.227777778,3.45952381,2.187301587,0.747222222,1.762222222
4.05849359,8.725946276,2.365555556,1.230555556,0.796111111,2.515628816,6.660866911
3.090277778,4.05849359,8.725946276,3.947191697,2.610927961,0.878205128,3.471955128
2.301420455,3.090277778,4.05849359,2.178685897,1.664262821,0.804545455,2.496590909
4.104166667,2.301420455,3.090277778,1.300757576,0.968686869,0.947632576,1.523200758
2.295138889,4.104166667,2.301420455,1.084375,0.588257576,1.286458333,2.96875
2.875661376,2.295138889,4.104166667,1.708333333,1.286458333,0.798611111,1.640625
2.670955882,2.875661376,2.295138889,0.850694444,0.770833333,0.55026455,2.417989418
1.35,2.670955882,2.875661376,1.423280423,1.174603175,0.718341503,1.996936275
2.201923077,1.35,2.670955882,1.098120915,1.086397059,0.394444444,1.133333333
1.477777778,2.201923077,1.35,0.788888889,0.35,0.797115385,1.474038462
6.093333333,1.477777778,2.201923077,1.020192308,0.8,0.5,0.844444444
3.140548341,6.093333333,1.477777778,0.6,0.133333333,1.871666667,3.696666667
5.057414966,3.140548341,6.093333333,2.738333333,0.766666667,1.073881674,1.981890332
4.847405372,5.057414966,3.140548341,0.955988456,1.03008658,0.680748299,3.723809524
