Year,B90_JuvCPUE,B90_SubadultCPUE,B90_SubadultLAG,B90_AdultCPUE,B90_ImmatureFemaleCPUE,B90_MatureFemaleCPUE,B90_CPUE,T38_JuvCPUE,T38_SubadultCPUE,T38_SubadultLAG,T38_AdultCPUE,T38_ImmatureFemaleCPUE,T38_MatureFemaleCPUE,T38_CPUE,T38B90_SubadultLAG,T06_CPUE,T06B90_CPUE,MeanLandingsCPUE,T38B90_CPUE
2004,4.130611935,11.38067721,1.770833333,4.245655651,2.80916807,2.679713805,19.75694444,2.713675214,3.947191697,1.230555556,1.842857143,3.138156288,0.239010989,8.725946276,3.001388889,,,2.686798027,21.59980158
2005,6.103115083,6.407519917,11.38067721,1.435198408,7.169404762,0.88,13.94583333,1.293269231,2.178685897,3.947191697,0.586538462,1.362980769,0.153044872,4.05849359,15.32786891,,,3.224536028,14.53237179
2006,7.45158836,5.684793803,6.407519917,1.962102686,7.546071795,1.156239664,15.09848485,1.195833333,1.300757569,2.178685897,0.593686875,1.249242424,0.06780303,3.090277778,8.586205814,1.596656406,16.69514126,3.033472896,15.69217173
2007,3.803229663,4.346304345,5.684793803,1.442479688,4.150455367,0.872124989,9.592013889,0.438825758,1.084375,1.300757569,0.778219697,0.748863636,0.016666667,2.301420455,6.985551372,1.722439093,11.31445298,2.761539072,10.37023359
2008,3.488908281,3.927170979,4.346304345,2.615170615,4.504485125,1.681291844,10.03125,1.260416667,1.708333333,1.084375,1.135416667,1.307291667,0.223958333,4.104166667,5.430679345,2.202487118,12.23373712,2.777461277,11.16666667
2009,0.285714286,0.876984127,3.927170979,0.698412698,0.694444444,0.396825397,1.861111111,0.789930556,0.850694444,1.708333333,0.654513889,0.678819444,0.046875,2.295138889,5.635504312,0.622471894,2.483583005,2.284103686,2.515625
2010,0.368506494,1.364754708,0.876984127,1.869660877,0.937301587,1.455916306,3.602922078,0.994708995,1.423280423,0.850694444,0.457671958,1.08994709,0.060846561,2.875661376,1.727678571,1.258421724,4.861343802,2.604966158,4.060594036
2011,1.071428571,4.854737792,1.364754708,4.161495974,2.717412217,3.882154882,10.08766234,0.898815359,1.098120915,1.423280423,0.674019608,0.779616013,0.086601307,2.670955882,2.788035131,1.501418722,11.58908106,2.979864093,10.76168195
2012,1.339423075,1.839323613,4.854737792,0.81875,1.583279655,0.633928571,3.997496684,0.344444444,0.788888889,1.098120915,0.216666667,0.577777778,0.027777778,1.35,5.952858707,2.46230477,6.459801454,3.157150319,4.214163351
2013,1.09375,0.8125,1.839323613,0.263888889,1.236111111,0.277777778,2.170138889,0.453846154,1.020192308,0.788888889,0.727884615,0.503846154,0.100961538,2.201923077,2.628212502,1.338590387,3.508729276,2.429125449,2.898023504
2014,0.364583333,0.614583333,0.8125,0.708333333,0.268849206,0.470238095,1.6875,0.244444444,0.6,1.020192308,0.633333333,0.711111111,0.133333333,1.477777778,1.832692308,0.588738549,2.276238549,2.482010268,2.320833333
2015,1.020833333,0.650892857,0.614583333,1.49047619,0.966071429,1.010714286,3.180952381,0.958333333,2.738333333,0.6,2.396666667,2.188333333,0.408333333,6.093333333,1.214583333,1.605047227,4.785999608,2.382410421,5.577619048
2016,1.056818182,2.227272727,0.650892857,5.965909091,1.75,3.988636364,9.818181818,1.025901883,0.955988448,2.738333333,1.025324681,0.732972583,0.105339105,3.140548341,3.38922619,2.273138556,12.09132037,2.900980659,10.8435065
2017,1.03125,2.645833333,2.227272727,3.634469698,1.722222222,2.867108587,8.415719697,2.141564629,1.582244886,0.955988448,1.333605457,1.820680272,0.377619048,5.057414966,3.183261175,2.029875494,10.44559519,2.781157732,9.749325154
2018,2.135645604,2.857371875,2.645833333,5.079899167,2.893238706,4.490613553,10.42708333,2.279359344,1.389956073,1.582244886,0.841765068,1.293488592,0.09793956,4.847405372,4.228078219,2.99360873,13.42069206,2.745846386,11.2688484
