Year,B90_CPUE,B90_CPUELAG,B90_JuvCPUE,B90_JuvLAG,B90_SubadultCPUE,B90_SubadultLAG,B90_AdultCPUE,B90_ImmatureFemaleCPUE,B90_ImmatureFemaleLAG,B90_MatureFemaleCPUE,B90_ImmatureMaleCPUE,B90_ImmatureMaleLAG,B90_MatureMaleCPUE,B90_SublegalCPUE,B90_SublegalLAG,B90_LegalCPUE,E98_CPUE,E98_JuvCPUE,E98_SubadultCPUE,E98_AdultCPUE,E98_SublegalCPUE,E98_LegalCPUE,E99_CPUE,E99_JuvCPUE,E99_SubadultCPUE,E99_AdultCPUE,E99_SublegalCPUE,E99_LegalCPUE,P88_CPUE,P88_SublegalCPUE,P88_SublegalLAG,P88_LegalCPUE,T06_CPUE,T38_CPUE,T38_CPUELAG,T38_JuvCPUE,T38_JuvLAG,T38_SubadultCPUE,T38_SubadultLAG,T38_AdultCPUE,T38_ImmatureFemaleCPUE,T38_ImmatureFemaleLAG,T38_MatureFemaleCPUE,T38_ImmatureMaleCPUE,T38_ImmatureMaleLAG,T38_MatureMaleCPUE,T38_SublegalCPUE,T38_SublegalLAG,T38_LegalCPUE,S16_CPUE,LandingsSum,LandingsMean,LandingsCPUEMean
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538950,48995.45455,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733843,61153.58333,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413938,30902.16667,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157989,14362.63636,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55251,5525.1,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232904,23290.4,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413003,26958.95833,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706049,29227.875,
1980,1.163618971,,0.225281897,,0.516251095,,0.426618007,0.463908084,,0.227418028,0.219725109,,0.257099779,0.741532992,,0.426618007,,,,,,,,,,,,,,,,,,4.008571429,,1.182077922,,2.061038961,,0.765454545,1.837922078,,0.161038961,1.193506494,,0.787532468,3.243116883,,0.765454545,,478991,20969.625,
1981,5.859872321,1.163618971,0.997661012,0.225281897,2.430595342,0.516251095,2.435336523,1.837522914,0.463908084,2.235901184,0.815763938,0.219725109,0.974404842,3.428256354,0.741532992,2.435336523,,,,,,,,,,,,,,,,,,3.392719298,4.008571429,0.474078947,1.182077922,2.234210526,2.061038961,0.684429825,1.045789474,1.837922078,0.04,1.259429825,1.193506494,0.995833333,2.708289474,3.243116883,0.684429825,,510895,21287.29167,
1982,1.149579104,5.859872321,0.313705723,0.997661012,0.506836445,2.430595342,0.332642996,0.445771387,1.837522914,0.225334879,0.260358348,0.815763938,0.22172055,0.820542168,3.428256354,0.332642996,,,,,,,,,,,,,,,,,,12.75961538,3.392719298,4.400641026,0.474078947,6.615384615,2.234210526,1.743589744,3.903846154,1.045789474,0.173076923,6.022435897,1.259429825,2.099358974,11.01602564,2.708289474,1.743589744,,341254,14218.91667,
1983,4.69389658,1.149579104,2.603951438,0.313705723,1.133329224,0.506836445,0.959436423,2.375738918,0.445771387,0.604503759,1.218775214,0.260358348,0.497699195,3.737280663,0.820542168,0.959436423,,,,,,,,,,,,,,,,,,5.536984127,12.75961538,1.986825397,4.400641026,2.477777778,6.615384615,1.072380952,2.067301587,3.903846154,0.179365079,1.912063492,6.022435897,1.238253968,4.464603175,11.01602564,1.072380952,,491601,21347.20833,
1984,10.41663975,4.69389658,2.586070891,2.603951438,5.104613878,1.133329224,2.728750946,4.773383825,2.375738918,2.142689662,2.372832729,1.218775214,1.130529499,7.690684769,3.737280663,2.728750946,,,,,,,,,,,,,,,,,,7.749494949,5.536984127,2.951919192,1.986825397,3.744747475,2.477777778,1.052828283,2.846767677,2.067301587,0.136666667,2.99979798,1.912063492,1.481414141,6.696666667,4.464603175,1.052828283,,473946,19747.75,
1985,7.706938056,10.41663975,3.751425104,2.586070891,1.860182373,5.104613878,2.098426134,3.39553827,4.773383825,1.107076676,2.162880529,2.372832729,1.044538137,5.611607477,7.690684769,2.098426134,,,,,,,,,,,,,,,,,,1.987762238,7.749494949,0.361538462,2.951919192,1.302680653,3.744747475,0.323543124,0.804545455,2.846767677,0.045454545,0.661072261,2.99979798,0.438228438,1.664219114,6.696666667,0.323543124,,327764,16423.20833,
1986,13.02661965,7.706938056,2.208055803,3.751425104,7.296977434,1.860182373,3.43264485,5.65197258,3.39553827,2.710386073,2.848940487,2.162880529,1.637198548,9.505033237,5.611607477,3.43264485,,,,,,,,,,,,,,,,,,4.794285714,1.987762238,0.17047619,0.361538462,3.36,1.302680653,1.263809524,0.66952381,0.804545455,0.057619048,1.82,0.661072261,2.167142857,3.53047619,1.664219114,1.263809524,,614859,25619.125,
1987,15.72481146,13.02661965,3.442160501,2.208055803,5.078747452,7.296977434,7.207066491,4.839066696,5.65197258,6.246040803,2.318643541,2.848940487,2.305057663,8.520907953,9.505033237,7.207066491,,,,,,,,,,,,,,,,,,8.27254902,4.794285714,1.797435897,0.17047619,5.070437406,3.36,1.404675716,2.961387632,0.66952381,0.194720965,3.32760181,1.82,1.788838612,6.867873303,3.53047619,1.404675716,,763884,31828.5,
1988,12.47830499,15.72481146,2.549273845,3.442160501,5.960206437,5.078747452,3.972116827,4.795449898,4.839066696,3.519646654,2.647099833,2.318643541,1.483330408,8.509480282,8.520907953,3.972116827,,,,,,,,,,,,,76.31799163,34.14225941,,42.17573222,,5.223621966,8.27254902,2.200370218,1.797435897,2.600467914,5.070437406,0.422783834,2.350452489,2.961387632,0.019230769,2.073359729,3.32760181,0.677411559,4.800838132,6.867873303,0.422783834,,1030297,46666.875,
1989,11.74522829,12.47830499,5.315095371,2.549273845,3.591414835,5.960206437,2.841946346,5.331598717,4.795449898,2.639042637,3.229143936,2.647099833,0.548671261,8.906510206,8.509480282,2.841946346,,,,,,,,,,,,,112.1705889,36.32111231,34.14225941,75.84947659,,6.76625,5.223621966,3.155416667,2.200370218,2.828541667,2.600467914,0.782291667,2.906041667,2.350452489,0.166666667,2.831875,2.073359729,0.845,5.983958333,4.800838132,0.782291667,,925593,38566.375,
1990,7.509668666,11.74522829,3.278535342,5.315095371,2.36720593,3.591414835,1.866836479,3.156860163,5.331598717,0.977791244,1.868615922,3.229143936,1.509310422,5.645741273,8.906510206,1.866836479,,,,,,,,,,,,,66.37915176,15.08840061,36.32111231,51.29075115,,3.294634378,6.76625,1.179962013,3.155416667,1.658357075,2.828541667,0.45631529,1.366096866,2.906041667,0.102801519,1.345916429,2.831875,0.429487179,2.838319088,5.983958333,0.45631529,,1004212,53492.125,
1991,7.870023728,7.509668666,3.035089494,3.278535342,3.18134624,2.36720593,1.656443112,3.415655995,3.156860163,1.190601734,2.184428977,1.868615922,1.08219214,6.216435734,5.645741273,1.656443112,,,,,,,,,,,,,53.2242506,12.94160357,15.08840061,40.28264703,,4.841666667,3.294634378,0.9375,1.179962013,3.241666667,1.658357075,0.6625,1.5375,1.366096866,0.075,2.208333333,1.345916429,0.866666667,4.179166667,2.838319088,0.6625,,1127243,46968.45833,
1992,20.09015208,7.870023728,3.192385115,3.035089494,8.208187786,3.18134624,8.692348071,6.739848338,3.415655995,8.198996989,2.909114841,2.184428977,2.244960805,11.4005729,6.216435734,8.692348071,,,,,,,,,,,,,60.86402821,11.08836207,12.94160357,49.77566614,,5.506985294,4.841666667,1.058639706,0.9375,3.581066176,3.241666667,0.867279412,1.825919118,1.5375,0.276102941,2.059926471,2.208333333,0.935110294,4.639705882,4.179166667,0.867279412,,1034374,43098.91667,
1993,8.622407386,20.09015208,2.452360821,3.192385115,4.455851167,8.208187786,1.717010146,4.017842252,6.739848338,1.432627383,2.352410886,2.909114841,0.822341613,6.908211988,11.4005729,1.717010146,,,,,,,,,,,,,69.65873588,27.23624129,11.08836207,42.42249459,,5.494047619,5.506985294,2.320436508,1.058639706,2.383928571,3.581066176,0.78968254,2.380952381,1.825919118,0.200396825,1.804563492,2.059926471,0.875992063,4.704365079,4.639705882,0.78968254,,771546,32147.75,
1994,15.40750389,8.622407386,4.659624174,2.452360821,7.508564344,4.455851167,3.242070673,7.244652031,4.017842252,2.437795397,3.467245839,2.352410886,2.250835571,12.16818852,6.908211988,3.242070673,,,,,,,,,,,,,45.44869774,19.01746863,27.23624129,26.43122911,,8.25,5.494047619,2.388888889,2.320436508,4.960648148,2.383928571,0.900462963,2.856481481,2.380952381,0.104166667,3.634259259,1.804563492,1.423611111,7.349537037,4.704365079,0.900462963,,1380506,57521.08333,
1995,5.670893849,15.40750389,1.754516044,4.659624174,2.50823632,7.508564344,1.410730745,2.565764198,7.244652031,1.003451475,1.373279512,3.467245839,0.722339256,4.262752363,12.16818852,1.410730745,,,,,,,,,,,,,71.89168114,21.81122178,19.01746863,50.08045936,,4.792418301,8.25,1.107058824,2.388888889,2.368300654,4.960648148,1.317058824,1.432745098,2.856481481,0.063529412,1.415163399,3.634259259,1.81745098,3.475359477,7.349537037,1.317058824,,1234095,51420.625,
1996,20.2825631,5.670893849,5.427508906,1.754516044,8.519796232,2.50823632,6.337436846,7.001557999,2.565764198,6.490793766,4.677226728,1.373279512,2.115163491,13.94730514,4.262752363,6.337436846,,,,,,,,,,,,,57.00210526,23.69122807,21.81122178,33.31087719,,9.760683761,4.792418301,3.733974359,1.107058824,4.995726496,2.368300654,1.030982906,3.74465812,1.432745098,0.174145299,4.139957265,1.415163399,1.701923077,8.729700855,3.475359477,1.030982906,,881776,37625.83333,
1997,9.911642163,20.2825631,3.895550166,5.427508906,4.411453718,8.519796232,1.606427538,4.821132159,7.001557999,1.304990127,2.838959799,4.677226728,0.948349337,8.307003884,13.94730514,1.606427538,,,,,,,,,,,,,36.42997011,12.77268199,23.69122807,23.65728812,,7.874621849,9.760683761,1.93394958,3.733974359,3.830238095,4.995726496,2.110434174,2.740364146,3.74465812,0.318053221,2.364495798,4.139957265,2.451708683,5.764187675,8.729700855,2.110434174,,979468,43083,
1998,2.895548214,9.911642163,0.635371108,3.895550166,1.390833565,4.411453718,0.871695763,1.099375257,4.821132159,0.521165192,0.710169185,2.838959799,0.567190802,2.026204673,8.307003884,0.871695763,,,,,,,,,,,,,31.25298,9.364350423,12.77268199,21.88862958,,12.08316993,7.874621849,3.700081699,1.93394958,6.605800654,3.830238095,1.777287582,3.607107843,2.740364146,0.466911765,4.770261438,2.364495798,3.238888889,10.30588235,5.764187675,1.777287582,,805416,36277.66667,
1999,6.074371726,2.895548214,1.435715585,0.635371108,3.132581027,1.390833565,1.508674003,2.68714695,1.099375257,1.095888657,1.227736665,0.710169185,1.066198343,4.568296612,2.026204673,1.508674003,9.057971239,0,7.246376991,1.811594248,7.246376991,1.811594248,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,68.68023696,24.35971672,9.364350423,44.32052024,,12.93978668,12.08316993,3.188258219,3.700081699,6.871258058,6.605800654,2.880270407,5.023169031,3.607107843,0.346752226,3.775444257,4.770261438,3.794421169,10.05951628,10.30588235,2.880270407,,877314,41458.04167,
2000,9.658995833,6.074371726,0.816930642,1.435715585,4.534764393,3.132581027,4.309811725,2.521130461,2.68714695,3.638085242,1.810655335,1.227736665,1.691635721,5.351695035,4.568296612,4.309811725,7.246376992,0,0,4.830917995,0,4.830917995,2.415458997,0,2.415458997,0,2.415458997,0,26.65032982,12.46007209,24.35971672,14.19025773,,10.54039855,12.93978668,3.275678054,3.188258219,5.101923741,6.871258058,2.162796756,3.919442719,5.023169031,0.382729469,3.428036577,3.775444257,2.810189786,8.377601794,10.05951628,2.162796756,,973654,41210.83333,
2001,26.95724314,9.658995833,4.881045317,0.816930642,8.907989802,4.534764393,13.17016854,8.715683313,2.521130461,9.841504979,4.308175308,1.810655335,4.093840057,13.78903512,5.351695035,13.17016854,3.623188495,0,0,3.623188495,0,3.623188495,3.019323667,0,0,3.019323667,0,3.019323667,19.5335277,9.978134111,12.46007209,9.555393586,,4.969551282,10.54039855,1.245726496,3.275678054,3.136752137,5.101923741,0.58707265,1.901175214,3.919442719,0.0625,1.686431624,3.428036577,1.319444444,4.382478632,8.377601794,0.58707265,,1221827,50909.45833,
2002,2.296105556,26.95724314,0.327685458,4.881045317,1.277158007,8.907989802,0.691417647,1.060842974,8.715683313,0.430741667,0.51275049,4.308175308,0.29192598,1.604843464,13.78903512,0.691417647,0,0,0,0,0,0,4.5289855,0,1.8115942,2.7173913,1.8115942,2.7173913,50.68130681,16.53316533,9.978134111,34.14814148,,6.227777778,4.969551282,1.603174603,1.245726496,3.45952381,3.136752137,1.165079365,2.233333333,1.901175214,0.180555556,2.187301587,1.686431624,1.626587302,5.062698413,4.382478632,1.165079365,,937676,39691.83333,
2003,6.0625,2.296105556,0.479166667,0.327685458,1.847222222,1.277158007,3.736111111,1.597222222,1.060842974,3.458333333,0.520833333,0.51275049,0.486111111,2.326388889,1.604843464,3.736111111,3.623188495,0,3.623188495,0,3.623188495,0,9.057971239,1.811594248,4.528985619,2.717391372,6.340579867,2.717391372,16.879754,8.912686754,16.53316533,7.967067248,,2.365555556,6.227777778,0.531666667,1.603174603,1.230555556,3.45952381,0.603333333,0.782222222,2.233333333,0.04,0.796111111,2.187301587,0.747222222,1.762222222,5.062698413,0.603333333,,476956,17904.375,
2004,19.75694444,6.0625,4.130611863,0.479166667,11.38067691,1.847222222,4.245655674,5.768226247,1.597222222,3.274979247,3.352263841,0.520833333,2.737955217,15.51128877,2.326388889,4.245655674,7.246376993,0,3.623188496,3.623188496,3.623188496,3.623188496,3.623188495,0,0,3.623188495,0,3.623188495,114.3237293,60.55274861,8.912686754,53.77098065,,8.725946276,2.365555556,2.713675214,0.531666667,3.947191697,1.230555556,1.842857143,3.138156288,0.782222222,0.239010989,2.610927961,0.796111111,2.515628816,6.660866911,1.762222222,1.842857143,,497616.59,10992.32938,2.44053378
2005,13.94583333,19.75694444,6.103115079,4.130611863,6.407519841,11.38067691,1.435198413,7.169404762,5.768226247,0.88,4.573531746,3.352263841,1.322896825,12.51063492,15.51128877,1.435198413,12.68115973,1.811594248,0,10.86956549,1.811594248,10.86956549,0,0,0,0,0,0,65.96144796,34.92606852,60.55274861,31.03537944,,4.05849359,8.725946276,1.293269231,2.713675214,2.178685897,3.947191697,0.586538462,1.362980769,3.138156288,0.153044872,1.664262821,2.610927961,0.878205128,3.471955128,6.660866911,0.586538462,,487581.46,10732.98903,3.224819619
2006,15.09848485,13.94583333,7.451588432,6.103115079,5.684793759,6.407519841,1.962102657,7.546071795,7.169404762,1.156239664,4.821191592,4.573531746,1.574981797,13.13638219,12.51063492,1.962102657,21.73913098,0,0,21.73913098,0,21.73913098,4.5289855,0,1.811594208,2.717391292,1.811594208,2.717391292,55.55014446,28.31502517,34.92606852,27.23511929,1.596656406,3.090277778,4.05849359,1.195833333,1.293269231,1.300757576,2.178685897,0.593686869,1.249242424,1.362980769,0.06780303,0.968686869,1.664262821,0.804545455,2.496590909,3.471955128,0.593686869,,513745.99,10921.66139,3.026288808
2007,9.592013889,15.09848485,3.803229626,7.451588432,4.346304593,5.684793759,1.44247967,4.150455367,7.546071795,0.872124989,3.640341084,4.821191592,0.92909245,8.149534219,13.13638219,1.44247967,48.14771843,0,14.98682486,33.16089357,14.98682486,33.16089357,3.623188496,3.623188496,0,0,3.623188496,0,43.51330637,19.81666839,28.31502517,23.69663798,1.722439093,2.301420455,3.090277778,0.438825758,1.195833333,1.084375,1.300757576,0.778219697,0.748863636,1.249242424,0.016666667,0.588257576,0.968686869,0.947632576,1.523200758,2.496590909,0.778219697,,426241.49,9279.723542,2.67262739
2008,10.03125,9.592013889,3.488908269,3.803229626,3.9271711,4.346304593,2.61517063,4.504485125,4.150455367,1.681291844,2.641245952,3.640341084,1.204227079,7.41607937,8.149534219,2.61517063,0,0,0,0,0,0,,,,,,,51.87003437,21.670259,19.81666839,30.19977537,2.202487118,4.104166667,2.301420455,1.260416667,0.438825758,1.708333333,1.084375,1.135416667,1.307291667,0.748863636,0.223958333,1.286458333,0.588257576,1.286458333,2.96875,1.523200758,1.135416667,,562982.97,12364.23743,2.793547078
2009,1.861111111,10.03125,0.285714286,3.488908269,0.876984127,3.9271711,0.698412698,0.694444444,4.504485125,0.396825397,0.412698413,2.641245952,0.357142857,1.162698413,7.41607937,0.698412698,,,,,,,2.415458997,1.207729499,1.207729499,0,2.415458997,0,31.10712204,12.21146553,21.670259,18.89565651,0.622471894,2.295138889,4.104166667,0.789930556,1.260416667,0.850694444,1.708333333,0.654513889,0.678819444,1.307291667,0.046875,0.770833333,1.286458333,0.798611111,1.640625,2.96875,0.654513889,,508806.45,10741.91215,2.266289217
2010,3.602922078,1.861111111,0.368506494,0.285714286,1.36475469,0.876984127,1.869660895,0.937301587,0.694444444,1.455916306,0.476695527,0.412698413,0.630735931,1.733261183,1.162698413,1.869660895,65.21739198,3.623188496,32.60869599,28.98550749,36.23188449,28.98550749,7.24637699,0,3.623188495,3.623188495,3.623188495,3.623188495,19.28829762,7.598414856,12.21146553,11.68988276,1.258421724,2.875661376,2.295138889,0.994708995,0.789930556,1.423280423,0.850694444,0.457671958,1.08994709,0.678819444,0.060846561,1.174603175,0.770833333,0.55026455,2.417989418,1.640625,0.457671958,,484385.38,10695.37319,2.489594989
2011,10.08766234,3.602922078,1.071428571,0.368506494,4.854737855,1.36475469,4.161495911,2.717412217,0.937301587,3.882154882,1.653799904,0.476695527,1.834295334,5.926166426,1.733261183,4.161495911,,,,,,,10.86956549,0,10.86956549,0,10.86956549,0,40.19162949,13.86732412,7.598414856,26.32430537,1.501418722,2.670955882,2.875661376,0.898815359,0.994708995,1.098120915,1.423280423,0.674019608,0.779616013,1.08994709,0.086601307,1.086397059,1.174603175,0.718341503,1.996936275,2.417989418,0.674019608,,831069.2,17687.63486,2.956350063
2012,3.997496684,10.08766234,1.339423077,1.071428571,1.839323607,4.854737855,0.81875,1.679227454,2.717412217,0.675,0.818269231,1.653799904,0.325,3.178746684,5.926166426,0.81875,1291.062821,0,1061.594219,229.4686016,1061.594219,229.4686016,1.811594248,0,0,1.811594248,0,1.811594248,41.76340781,24.05142836,13.86732412,17.71197945,2.46230477,1.35,2.670955882,0.344444444,0.898815359,0.788888889,1.098120915,0.216666667,0.577777778,0.779616013,0.027777778,0.35,1.086397059,0.394444444,1.133333333,1.996936275,0.216666667,,1111353.78,23153.20375,3.157150319
2013,2.170138889,3.997496684,1.09375,1.339423077,0.8125,1.839323607,0.263888889,1.236111111,1.679227454,0.277777778,0.538194444,0.818269231,0.118055556,1.90625,3.178746684,0.263888889,,,,,,,1.207729499,0,1.207729499,0,1.207729499,0,67.42347751,18.07986979,24.05142836,49.34360772,1.338590387,2.201923077,1.35,0.453846154,0.344444444,1.020192308,0.788888889,0.727884615,0.503846154,0.577777778,0.100961538,0.8,0.35,0.797115385,1.474038462,1.133333333,0.727884615,,743832.73,15918.35979,2.355470544
2014,1.6875,2.170138889,0.364583333,1.09375,0.614583333,0.8125,0.708333333,0.354166667,1.236111111,0.520833333,0.135416667,0.538194444,0.229166667,0.979166667,1.90625,0.708333333,,,,,,,7.246376992,0,0,7.246376992,0,7.246376992,33.29984774,18.80520484,18.07986979,14.4946429,0.588738549,1.477777778,2.201923077,0.244444444,0.453846154,0.6,1.020192308,0.633333333,0.711111111,0.503846154,0.133333333,0.133333333,0.8,0.5,0.844444444,1.474038462,0.633333333,,651631.26,13693.64597,2.432542274
2015,3.166666667,1.6875,1.020833333,0.364583333,0.646130952,0.614583333,1.480952381,0.994642857,0.354166667,1.005952381,0.660416667,0.135416667,0.424404762,1.666964286,0.979166667,1.480952381,7.24637699,7.24637699,0,0,7.24637699,0,0,0,0,0,0,0,29.51853716,10.35976789,18.80520484,19.15876927,1.605047227,6.093333333,1.477777778,0.958333333,0.244444444,2.738333333,0.6,2.396666667,2.188333333,0.711111111,0.408333333,0.766666667,0.133333333,1.871666667,3.696666667,0.844444444,2.396666667,,636548.78,13261.43292,2.382410421
2016,9.818181818,3.166666667,1.056818182,1.020833333,2.227272727,0.646130952,5.965909091,1.75,0.994642857,3.988636364,1.386363636,0.660416667,2.102272727,3.284090909,1.666964286,5.965909091,7.24637699,0,0,7.24637699,0,7.24637699,0,0,0,0,0,0,32.67326143,12.68393488,10.35976789,19.98932655,2.273138556,3.140548341,6.093333333,1.025901876,0.958333333,0.955988456,2.738333333,1.025324675,0.732972583,2.188333333,0.105339105,1.03008658,0.766666667,1.073881674,1.981890332,3.696666667,1.025324675,16.94267981,822197.3,17265.41597,2.872149277
2017,8.415719697,9.818181818,1.03125,1.056818182,2.645833333,2.227272727,3.634469697,1.958333333,1.75,2.832386364,1.1875,1.386363636,1.229166667,3.677083333,3.284090909,3.634469697,14.49275399,0,7.246376993,7.246376993,7.246376993,7.246376993,3.623188495,0,1.811594248,1.811594248,1.811594248,1.811594248,34.47886567,18.37055624,12.68393488,16.10830943,2.029875494,5.057414966,3.140548341,2.141564626,1.025901876,1.582244898,0.955988456,1.333605442,1.820680272,0.732972583,0.377619048,1.569795918,1.03008658,0.680748299,3.723809524,1.981890332,1.333605442,15.87911966,780553.75,16261.53646,2.781157732
2018,10.42708333,8.415719697,2.135645604,1.03125,2.857371795,2.645833333,5.079899267,2.793040293,1.958333333,4.506982601,1.583791209,1.1875,1.116185897,4.993017399,3.677083333,5.079899267,7.24637699,0,7.24637699,0,7.24637699,0,1.811594248,0,0,1.811594248,0,1.811594248,43.66383453,23.01877687,18.37055624,20.64505767,2.99360873,4.847405372,5.057414966,2.279359393,2.141564626,1.389956068,1.582244898,0.841765125,1.293488592,1.820680272,0.09793956,1.876106682,1.569795918,0.922854868,3.669315461,3.723809524,0.841765125,17.38529766,696527.83,14510.99646,2.745846386
